Title,PublicationDate,Subjects,SourceURL,SourceDate
53,"Race war : white supremacy and the Japanese attack on the British 
Empire / Gerald Horne.",c2004.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
54,"Memorializing the Holocaust : gender, genocide and collective 
memory / Janet Jacobs.",2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
55,"Half American : the epic story of African Americans fighting 
World War II at home and abroad / Matthew F. Delmont.",[2022],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
56,"Why I'm no longer talking to white people about race / Reni Eddo-
Lodge.",2019.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
57,"Monsieur d'Eon is a woman : a tale of political intrigue and sexual 
masquerade / Gary Kates.",2001.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
58,"Blunt instruments : recognizing racist cultural infrastructure in 
memorials, museums, and patriotic practices / Kristin Ann Hass.",[2022],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
59,"This violent empire : the birth of an American national identity / 
Carroll Smith-Rosenberg.",c2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
60,"The showman and the slave : race, death, and memory in Barnum's 
America / Benjamin Reiss.",2001.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
61,"Never one nation : freaks, savages, and whiteness in U.S. popular 
culture, 1850-1877 / Linda Frost.",c2005.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
62,"America, Amerikkka : elect nation and imperial violence / 
Rosemary Radford Ruether.",2007.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
